contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDate,optionType
SPY250721C00570000,2025-07-14,570.0,55.19,56.55,58.66,0.0,0.0,1.0,2,0.6875031250000001,True,REGULAR,USD,2025-07-21,CALL
SPY250721C00575000,2025-07-11,575.0,48.07,51.55,53.66,0.0,0.0,1.0,0,0.632816171875,True,REGULAR,USD,2025-07-21,CALL
SPY250721C00580000,2025-07-16,580.0,44.34,46.56,48.67,0.0,0.0,24.0,6,0.5976602734375001,True,REGULAR,USD,2025-07-21,CALL
SPY250721C00585000,2025-07-18,585.0,42.13,41.56,43.67,-0.86999893,-2.0232534,4.0,11,0.5390671093750001,True,REGULAR,USD,2025-07-21,CALL
SPY250721C00590000,2025-07-18,590.0,36.99,36.56,38.67,3.8500023,11.617388,1.0,7,0.8642591699218749,True,REGULAR,USD,2025-07-21,CALL
SPY250721C00595000,2025-07-18,595.0,32.51,31.56,33.67,1.0199986,3.239119,7.0,8,0.7739280419921876,True,REGULAR,USD,2025-07-21,CALL
SPY250721C00599000,2025-07-15,599.0,29.66,27.57,29.68,5.84,24.517212,4.0,51,0.7026396923828125,True,REGULAR,USD,2025-07-21,CALL
SPY250721C00600000,2025-07-18,600.0,27.68,26.57,28.68,-0.7600002,-2.6722932,13.0,74,0.6840851904296876,True,REGULAR,USD,2025-07-21,CALL
SPY250721C00603000,2025-07-16,603.0,19.81,23.57,25.68,0.0,0.0,2.0,4,0.6281775463867189,True,REGULAR,USD,2025-07-21,CALL
SPY250721C00605000,2025-07-18,605.0,22.41,21.57,23.68,-0.9899998,-4.230768,15.0,36,0.5903361279296876,True,REGULAR,USD,2025-07-21,CALL
SPY250721C00607000,2025-07-17,607.0,20.81,19.58,21.69,-0.6100006,-2.8478086,4.0,31,0.5537154003906251,True,REGULAR,USD,2025-07-21,CALL
SPY250721C00610000,2025-07-18,610.0,17.61,16.58,18.69,-0.51999855,-2.8681664,448.0,71,0.4953663745117188,True,REGULAR,USD,2025-07-21,CALL
SPY250721C00611000,2025-07-18,611.0,16.61,16.4,16.83,-0.51999855,-3.0356019,8.0,118,0.32227240234374993,True,REGULAR,USD,2025-07-21,CALL
SPY250721C00612000,2025-07-18,612.0,15.65,14.59,16.7,-0.710001,-4.3398595,10.0,17,0.45703667968750006,True,REGULAR,USD,2025-07-21,CALL
SPY250721C00613000,2025-07-18,613.0,14.27,14.59,14.73,-0.22999954,-1.5862037,13.0,32,0.2617261328125,True,REGULAR,USD,2025-07-21,CALL
