contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDate,optionType
SPY250721P00400000,2025-07-18,400.0,0.01,0.0,0.01,0.0,0.0,9.0,55,2.50000375,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00405000,2025-07-15,405.0,0.01,0.0,0.01,0.0,0.0,20.0,27,2.43750390625,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00410000,2025-07-11,410.0,0.01,0.0,0.01,0.0,0.0,4.0,124,2.3750040624999995,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00415000,2025-07-11,415.0,0.01,0.0,0.01,0.0,0.0,2.0,2,2.3125042187499996,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00445000,2025-07-08,445.0,0.02,0.0,0.01,0.0,0.0,,1,1.9375003125,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00455000,2025-07-14,455.0,0.02,0.0,0.01,0.0,0.0,36.0,66,1.8125009374999999,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00460000,2025-07-09,460.0,0.02,0.0,0.01,0.0,0.0,,1,1.75000125,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00465000,2025-07-09,465.0,0.02,0.0,0.01,0.0,0.0,,100,1.6875015625,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00470000,2025-07-11,470.0,0.02,0.0,0.01,0.0,0.0,2.0,7,1.625001875,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00475000,2025-07-16,475.0,0.01,0.0,0.01,0.0,0.0,5.0,14,1.5937520312499998,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00485000,2025-07-09,485.0,0.03,0.0,0.01,0.0,0.0,,200,1.5000025,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00490000,2025-07-08,490.0,0.05,0.0,0.01,0.0,0.0,,1,1.4375028125,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00495000,2025-07-16,495.0,0.01,0.0,0.01,0.0,0.0,10.0,29,1.3750031249999999,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00500000,2025-07-16,500.0,0.01,0.0,0.01,0.0,0.0,2.0,728,1.3125034374999998,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00505000,2025-07-16,505.0,0.01,0.0,0.01,0.0,0.0,1.0,179,1.2500037499999999,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00510000,2025-07-15,510.0,0.01,0.0,0.01,0.0,0.0,25.0,160,1.21875390625,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00515000,2025-07-17,515.0,0.01,0.0,0.01,0.0,0.0,20.0,361,1.15625421875,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00520000,2025-07-16,520.0,0.02,0.0,0.01,0.0,0.0,15.0,268,1.09375453125,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00525000,2025-07-17,525.0,0.01,0.0,0.01,0.0,0.0,40.0,101,1.0625046875000002,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00530000,2025-07-18,530.0,0.01,0.0,0.01,-0.02,-66.66667,5.0,58,0.98437515625,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00535000,2025-07-18,535.0,0.01,0.0,0.01,0.0,0.0,256.0,1890,0.937500625,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00540000,2025-07-18,540.0,0.01,0.0,0.01,0.0,0.0,482.0,237,0.9062509375,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00545000,2025-07-18,545.0,0.01,0.0,0.01,0.0,0.0,1.0,26,0.8437515624999999,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00550000,2025-07-18,550.0,0.01,0.0,0.01,-0.01,-50.0,81.0,383,0.7812521875,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00555000,2025-07-18,555.0,0.01,0.0,0.01,-0.01,-50.0,194.0,1475,0.7500025,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00560000,2025-07-18,560.0,0.01,0.0,0.01,-0.01,-50.0,110.0,238,0.6875031250000001,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00565000,2025-07-18,565.0,0.01,0.01,0.02,-0.01,-50.0,919.0,712,0.710940390625,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00570000,2025-07-18,570.0,0.01,0.01,0.02,-0.02,-66.66667,4151.0,327,0.6562534375000001,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00575000,2025-07-18,575.0,0.01,0.01,0.02,-0.02,-66.66667,428.0,2185,0.6015664843750002,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00580000,2025-07-18,580.0,0.01,0.01,0.02,-0.03,-75.0,1608.0,3157,0.5468795312500001,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00585000,2025-07-18,585.0,0.01,0.01,0.02,-0.02,-66.66667,1038.0,406,0.507817421875,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00590000,2025-07-18,590.0,0.02,0.01,0.02,-0.030000001,-60.000004,324.0,5403,0.45313046875,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00591000,2025-07-18,591.0,0.02,0.01,0.02,-0.030000001,-60.000004,2961.0,50,0.4414118359375,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00592000,2025-07-18,592.0,0.01,0.01,0.02,-0.04,-80.0,7064.0,103,0.42969320312500003,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00593000,2025-07-18,593.0,0.03,0.01,0.02,-0.020000001,-40.000004,688.0,60,0.41797457031249996,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00594000,2025-07-18,594.0,0.02,0.01,0.02,-0.030000001,-60.000004,4567.0,156,0.4062559375,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00595000,2025-07-18,595.0,0.02,0.01,0.02,-0.030000001,-60.000004,728.0,843,0.39453730468750003,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00596000,2025-07-18,596.0,0.02,0.02,0.03,-0.04,-66.66667,2252.0,120,0.4023497265625,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00597000,2025-07-17,597.0,0.03,0.02,0.03,-0.04,-57.142853,16.0,383,0.39063109375,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00598000,2025-07-18,598.0,0.02,0.02,0.03,-0.04,-66.66667,469.0,1066,0.3789124609375,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00599000,2025-07-18,599.0,0.02,0.02,0.03,-0.04,-66.66667,1120.0,750,0.367193828125,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00600000,2025-07-18,600.0,0.02,0.02,0.03,-0.04,-66.66667,1563.0,4140,0.35547519531249994,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00601000,2025-07-18,601.0,0.03,0.02,0.03,-0.04,-57.142853,503.0,1139,0.3437565625,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00602000,2025-07-18,602.0,0.02,0.02,0.03,-0.05,-71.42857,136.0,688,0.3320379296875,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00603000,2025-07-18,603.0,0.02,0.02,0.03,-0.06,-75.0,3159.0,4615,0.32031929687499994,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00604000,2025-07-18,604.0,0.03,0.02,0.03,-0.049999997,-62.5,426.0,697,0.3086006640625,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00605000,2025-07-18,605.0,0.02,0.02,0.03,-0.07000001,-77.77779,2143.0,1665,0.29688203124999996,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00606000,2025-07-18,606.0,0.03,0.02,0.03,-0.060000002,-66.66667,4202.0,1045,0.28516339843749994,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00607000,2025-07-18,607.0,0.03,0.03,0.04,-0.07,-70.0,1307.0,1277,0.28516339843749994,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00608000,2025-07-18,608.0,0.04,0.03,0.04,-0.060000002,-60.000004,1781.0,850,0.27149166015625,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00609000,2025-07-18,609.0,0.03,0.03,0.04,-0.099999994,-76.92307,5987.0,1012,0.25977302734375,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00610000,2025-07-18,610.0,0.04,0.03,0.04,-0.089999996,-69.230774,2254.0,3858,0.24805439453125,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00611000,2025-07-18,611.0,0.04,0.04,0.05,-0.11000001,-73.333336,8853.0,3331,0.242195078125,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00612000,2025-07-18,612.0,0.04,0.04,0.05,-0.11000001,-73.333336,2914.0,1615,0.2304764453125,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00613000,2025-07-18,613.0,0.05,0.04,0.05,-0.13000001,-72.22223,1261.0,2965,0.21680470703125,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00614000,2025-07-18,614.0,0.05,0.05,0.06,-0.16,-76.190475,3401.0,1704,0.20996883789062498,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00615000,2025-07-18,615.0,0.07,0.06,0.07,-0.16,-69.565216,8734.0,4061,0.20215641601562498,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00616000,2025-07-18,616.0,0.08,0.07,0.08,-0.19000001,-70.37037,2995.0,1739,0.1928791650390625,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00617000,2025-07-18,617.0,0.09,0.08,0.09,-0.22,-70.96774,6597.0,2321,0.18262536132812499,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00618000,2025-07-18,618.0,0.1,0.1,0.11,-0.26000002,-72.22223,9697.0,2321,0.174812939453125,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00619000,2025-07-18,619.0,0.13,0.13,0.14,-0.29,-69.047615,12373.0,2564,0.16846534667968754,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00620000,2025-07-18,620.0,0.17,0.17,0.18,-0.33999997,-66.666664,40585.0,6371,0.16211775390625,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00621000,2025-07-18,621.0,0.22,0.21,0.22,-0.39000002,-63.93443,16580.0,1300,0.15284050292968754,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00622000,2025-07-18,622.0,0.28,0.27,0.28,-0.42999998,-60.56338,17931.0,3045,0.1450280810546875,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00623000,2025-07-18,623.0,0.36,0.35,0.36,-0.47999996,-57.142853,20811.0,2292,0.13721565917968753,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00624000,2025-07-18,624.0,0.46,0.46,0.47,-0.54999995,-54.45544,29523.0,3048,0.1294032373046875,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00625000,2025-07-18,625.0,0.62,0.62,0.63,-0.61,-49.5935,41999.0,6077,0.12232322998046877,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00626000,2025-07-18,626.0,0.83,0.83,0.84,-0.66,-44.295303,54741.0,4786,0.11451080810546876,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00627000,2025-07-18,627.0,1.14,1.14,1.15,-0.65999997,-36.666664,79362.0,2475,0.10852942260742188,False,REGULAR,USD,2025-07-21,PUT
SPY250721P00628000,2025-07-18,628.0,1.57,1.56,1.57,-0.58000004,-26.976746,58275.0,2383,0.10291424438476562,True,REGULAR,USD,2025-07-21,PUT
SPY250721P00629000,2025-07-18,629.0,2.15,2.1,2.14,-0.43999982,-16.98841,16051.0,894,0.09986251708984376,True,REGULAR,USD,2025-07-21,PUT
SPY250721P00630000,2025-07-18,630.0,2.81,2.78,2.84,-0.28999996,-9.354838,9030.0,670,0.0976652734375,True,REGULAR,USD,2025-07-21,PUT
